Site,Weather,Smoothing,Scaler_win,t_0,Scaler_rto
Playa,site,TRUE,90,11/21/2015,0.000803287
Playa,site,TRUE,90,11/28/2015,0.000803694
Playa,site,TRUE,90,12/5/2015,0.000804101
Playa,site,TRUE,90,12/12/2015,0.000802042
Playa,site,TRUE,90,12/19/2015,0.000800454
Playa,site,TRUE,90,12/26/2015,0.000802574
Playa,site,TRUE,90,1/2/2016,0.000803612
Playa,site,TRUE,90,1/9/2016,0.000801343
Playa,site,TRUE,90,1/16/2016,0.000794963
Playa,site,TRUE,90,1/23/2016,0.000789015
Playa,site,TRUE,90,1/30/2016,0.000783842
Playa,site,TRUE,90,2/6/2016,0.000779494
Playa,site,TRUE,90,2/13/2016,0.000776296
Playa,site,TRUE,90,2/20/2016,0.000773251
Playa,site,TRUE,90,2/27/2016,0.000770501
Playa,site,TRUE,90,3/5/2016,0.000763744
Playa,site,TRUE,90,3/12/2016,0.000756157
Playa,site,TRUE,90,3/19/2016,0.000748064
Playa,site,TRUE,90,3/26/2016,0.000742256
Playa,site,TRUE,90,4/2/2016,0.000736889
Playa,site,TRUE,90,4/9/2016,0.000729173
Playa,site,TRUE,90,4/16/2016,0.000722546
Playa,site,TRUE,90,4/23/2016,0.000717937
Playa,site,TRUE,90,4/30/2016,0.000717322
Playa,site,TRUE,90,5/7/2016,0.000716284
Playa,site,TRUE,90,5/14/2016,0.00071375
Playa,site,TRUE,90,5/21/2016,0.000712579
Playa,site,TRUE,90,5/28/2016,0.00071462
Playa,site,TRUE,90,6/4/2016,0.000714419
Playa,site,TRUE,90,6/11/2016,0.000707339
Playa,site,TRUE,90,6/18/2016,0.000695435
Playa,site,TRUE,90,6/25/2016,0.000685804
Playa,site,TRUE,90,7/2/2016,0.000682871
Playa,site,TRUE,90,7/9/2016,0.000679557
Playa,site,TRUE,90,7/16/2016,0.000675719
Playa,site,TRUE,90,7/23/2016,0.000669307
Playa,site,TRUE,90,7/30/2016,0.000667507
Playa,site,TRUE,90,8/6/2016,0.000667649
Playa,site,TRUE,90,8/13/2016,0.0006677
Playa,site,TRUE,90,8/20/2016,0.000667181
Playa,site,TRUE,90,8/27/2016,0.000667452
Playa,site,TRUE,90,9/3/2016,0.000669362
Playa,site,TRUE,90,9/10/2016,0.000671366
Playa,site,TRUE,90,9/17/2016,0.000671635
Playa,site,TRUE,90,9/24/2016,0.000670378
Playa,site,TRUE,90,10/1/2016,0.000671707
Playa,site,TRUE,90,10/8/2016,0.000672921
Playa,site,TRUE,90,10/15/2016,0.000675633
Playa,site,TRUE,90,10/22/2016,0.000672928
Playa,site,TRUE,90,10/29/2016,0.000670915
Playa,site,TRUE,90,11/5/2016,0.000668179
Playa,site,TRUE,90,11/12/2016,0.000667008
Playa,site,TRUE,90,11/19/2016,0.000670292
Playa,site,TRUE,90,11/26/2016,0.000674495
Playa,site,TRUE,90,12/3/2016,0.000677931
Playa,site,TRUE,90,12/10/2016,0.00067697
Playa,site,TRUE,90,12/17/2016,0.000676131
Playa,site,TRUE,90,12/24/2016,0.000681261
Playa,site,TRUE,90,12/31/2016,0.000689289
Playa,site,TRUE,90,1/7/2017,0.000697634
Playa,site,TRUE,90,1/14/2017,0.000701447
Playa,site,TRUE,90,1/21/2017,0.00070328
