Site,Weather,Scaler_win,Forecast_win,Trap_smoothing_flag,RMSE_mu,RMSE_sig
La_Margarita,site,13,34,FALSE,1.042695373,0.626841732
La_Margarita,site,13,52,FALSE,1.080675818,0.563550258
La_Margarita,site,13,80,FALSE,1.023870076,0.419839927
La_Margarita,site,13,150,FALSE,1.01189473,0.227367825
La_Margarita,site,17,3,FALSE,0.688390801,0.704072913
La_Margarita,site,17,4,FALSE,0.716077114,0.688274423
La_Margarita,site,17,8,FALSE,0.784717052,0.661713945
La_Margarita,site,17,17,FALSE,0.897363312,0.638394562
La_Margarita,site,17,21,FALSE,0.938885391,0.642461576
La_Margarita,site,17,30,FALSE,1.01554028,0.64170318
La_Margarita,site,17,34,FALSE,1.035746986,0.631797082
La_Margarita,site,17,52,FALSE,1.071849291,0.55965477
La_Margarita,site,17,80,FALSE,1.012850892,0.419989013
La_Margarita,site,17,150,FALSE,1.008612115,0.220443155
La_Margarita,site,21,3,FALSE,0.69865802,0.705059812
La_Margarita,site,21,4,FALSE,0.724834549,0.690532819
La_Margarita,site,21,8,FALSE,0.791442715,0.666283687
La_Margarita,site,21,17,FALSE,0.90821942,0.659846361
La_Margarita,site,21,21,FALSE,0.947572808,0.662516883
La_Margarita,site,21,30,FALSE,1.014114711,0.647094602
La_Margarita,site,21,34,FALSE,1.031149856,0.631341574
La_Margarita,site,21,52,FALSE,1.066867625,0.553079072
La_Margarita,site,21,80,FALSE,1.009465087,0.420965922
La_Margarita,site,21,150,FALSE,1.011780461,0.214477729
La_Margarita,site,26,3,FALSE,0.710743198,0.716213779
La_Margarita,site,26,4,FALSE,0.738148308,0.703103829
La_Margarita,site,26,8,FALSE,0.810068016,0.687478757
La_Margarita,site,26,17,FALSE,0.923513947,0.685331905
La_Margarita,site,26,21,FALSE,0.957838879,0.679962909
La_Margarita,site,26,30,FALSE,1.011756305,0.643174705
La_Margarita,site,26,34,FALSE,1.02738655,0.623266022
La_Margarita,site,26,52,FALSE,1.061331121,0.539648153
La_Margarita,site,26,80,FALSE,1.012485911,0.421612875
La_Margarita,site,26,150,FALSE,1.02084254,0.207379864
Villodas,site,4,3,FALSE,0.733175638,0.587203395
Villodas,site,4,4,FALSE,0.763524132,0.574257388
Villodas,site,4,8,FALSE,0.840372686,0.573000712
Villodas,site,4,17,FALSE,0.983740878,0.606676424
Villodas,site,4,21,FALSE,1.031263028,0.616231698
Villodas,site,4,30,FALSE,1.100949697,0.596843907
Villodas,site,4,34,FALSE,1.126857613,0.579498878
Villodas,site,4,52,FALSE,1.227603611,0.532775907
Villodas,site,4,80,FALSE,1.366837416,0.54704347
Villodas,site,4,150,FALSE,1.354552288,0.555304208
Villodas,site,8,3,FALSE,0.718743033,0.602020011
Villodas,site,8,4,FALSE,0.751889129,0.590938182
Villodas,site,8,8,FALSE,0.841478898,0.594094667
Villodas,site,8,17,FALSE,0.974547753,0.612219311
Villodas,site,8,21,FALSE,1.016534231,0.605432295
Villodas,site,8,30,FALSE,1.087187952,0.565503474
Villodas,site,8,34,FALSE,1.11153403,0.542935156
Villodas,site,8,52,FALSE,1.21702081,0.496878549
Villodas,site,8,80,FALSE,1.347618535,0.497532262
Villodas,site,8,150,FALSE,1.328083594,0.505769711
Villodas,site,13,3,FALSE,0.750310825,0.648393508
Villodas,site,13,4,FALSE,0.780686738,0.634690295
Villodas,site,13,8,FALSE,0.854026652,0.627602741
Villodas,site,13,17,FALSE,0.984453914,0.616884635
Villodas,site,13,21,FALSE,1.026086233,0.597383751
Villodas,site,13,30,FALSE,1.090870493,0.540864167
Villodas,site,13,34,FALSE,1.112536232,0.515773011
Villodas,site,13,52,FALSE,1.222817314,0.478183656
