Source,Scaler_win,Forecast_win,Dist,t_0,Total_RMSE,amt1_RMSE,amt5_RMSE,amt9_RMSE,amt13_RMSE,amt17_RMSE,amt21_RMSE,amt25_RMSE,amt29_RMSE,amt33_RMSE,amt37_RMSE,amt41_RMSE,amt45_RMSE,amt49_RMSE
Ceiba,13,52,poisson,6/24/2017,2.138957634,3.573845779,2.700224259,0.856475912,0.794363152,0.963545591,0.873453065,0.399600872,1.313554651,2.506091734,3.275867129,1.445894159,2.671934437,2.868898144
Ceiba,13,52,poisson,7/1/2017,2.147011413,3.576096923,1.602649686,1.378222747,0.834530482,1.295568423,1.089303747,0.538251171,1.700371843,3.01853216,3.151992471,1.800646398,2.449261273,2.763837864
Ceiba,13,52,poisson,7/8/2017,2.178295609,2.961063308,0.911033925,1.752787781,1.383717939,1.692416703,1.38506697,1.450525132,2.114553855,3.652148223,2.693712811,1.929263993,2.251996926,2.520702833
Ceiba,13,52,poisson,7/15/2017,2.244278696,2.052908944,1.773104074,2.041679287,1.854117202,2.020234465,1.527307517,1.921018418,2.919815062,4.107269675,1.956815856,1.764494166,1.7894624,2.206725182
Ceiba,13,52,poisson,7/22/2017,2.349177369,1.497186287,2.369471643,2.23550282,2.439058648,2.306510583,1.650019563,2.482220447,3.539462315,4.166434134,1.160233659,1.403589141,1.48058329,1.827711979
Ceiba,13,52,poisson,7/29/2017,2.462663988,1.345483033,2.950658465,2.277853214,2.746197013,2.477923791,1.827287876,2.891177231,4.010184129,3.96657968,1.057353374,1.172009587,1.376837281,1.246495057
Ceiba,13,52,poisson,8/5/2017,2.624374801,1.921841665,3.150430671,2.70218533,2.98419646,2.625630625,2.549498707,3.132479516,4.498543388,3.361031961,1.00746923,1.094262772,1.267030411,1.073326544
Ceiba,13,52,poisson,8/12/2017,2.734623928,2.795676939,3.128338507,2.854844631,3.002927679,2.469763949,2.795622949,3.679310006,4.731015454,2.409160033,0.943898669,0.948842451,1.195020203,1.894127101
Ceiba,13,52,poisson,8/19/2017,2.755928868,3.081869033,2.936546153,3.105250331,2.950672684,2.282413211,3.038989269,4.010383303,4.564934097,1.287405868,0.855432974,0.937905617,1.198375136,2.48897355
Ceiba,13,52,poisson,8/26/2017,2.707829766,3.187881966,2.501481674,2.963265508,2.6871,2.030321173,3.070771968,4.158558542,4.089645898,0.997144173,0.986242046,1.19117507,1.084784127,3.281114731
Ceiba,13,52,poisson,9/2/2017,2.694158944,2.995782802,2.557852673,2.843244465,2.488953329,2.424502064,3.020543621,4.406262723,3.285963721,1.098921193,1.216433153,1.391451853,1.0315463,3.696211921
Ceiba,13,52,poisson,9/9/2017,2.585740087,2.688970676,2.451134497,2.60746725,2.086443821,2.440943967,3.373148995,4.480111452,2.21706578,1.271516812,1.267804741,1.588029797,1.60142732,3.448811913
Ceiba,13,52,poisson,9/16/2017,2.481712857,2.368888236,2.566488363,2.429779713,1.77047348,2.588007276,3.629322393,4.242708526,1.172592057,1.29684245,1.369179489,1.70053484,2.008114349,3.017064488
Ceiba,13,52,poisson,9/23/2017,2.349197163,1.898170893,2.375833075,2.121430106,1.482816672,2.585350897,3.757116012,3.757280309,1.20202134,1.49368193,1.713789962,1.569221069,2.691808784,2.134991076
Ceiba,13,52,poisson,9/30/2017,2.274878791,1.885670559,2.185768405,1.854539367,1.854110767,2.500830018,3.975697471,2.942523003,1.561245175,1.802570819,2.020704325,1.131656819,2.996677135,1.147213093
Ceiba,13,52,poisson,10/7/2017,2.152820142,1.58762782,1.756379921,1.283725901,1.691753015,2.7167251,3.939520996,1.852531476,1.987518372,2.032825963,2.491641253,1.265917348,2.538865611,1.209657139
Ceiba,13,52,poisson,10/14/2017,2.102252314,1.535780457,1.431286041,0.817340266,1.74898432,2.905826549,3.624123304,1.249737919,2.172825975,2.314400097,2.771911109,1.283002563,2.139864836,1.480769522
Ceiba,13,52,poisson,10/21/2017,2.091799229,1.2695286,1.064771412,0.519525526,1.679232214,3.000665967,3.137478229,1.817019366,2.472584747,2.789911181,2.682595945,1.634031974,1.985439093,1.092240214
Ceiba,13,52,poisson,10/28/2017,2.132899824,0.932084472,0.704304254,0.942202758,1.529604077,3.149497942,2.329660414,2.517308536,2.957797926,3.318224515,2.146419505,1.681557604,2.013386876,1.271606019
Ceiba,13,52,poisson,11/4/2017,2.219726884,0.563171623,0.545265116,0.770717665,1.798242342,3.169598618,1.529330268,3.016416331,3.178607345,3.822536375,1.781590569,1.365974801,2.588600115,1.292738782
Ceiba,13,52,poisson,11/11/2017,2.309008361,0.346162592,0.534361306,0.955594552,2.118645232,2.930085662,1.708648939,3.169877556,3.426499543,4.026000174,1.320793342,1.657241119,2.788572823,1.316396921
Ceiba,13,52,poisson,11/18/2017,2.359212946,0.317614183,0.645394631,0.934457075,2.347309323,2.612460326,2.448175674,3.332184235,3.757486216,3.712536091,0.953098685,2.470529619,2.215078928,1.309179224
Ceiba,13,52,poisson,11/25/2017,2.380281879,0.443932013,0.826792313,1.058657523,2.712322882,2.045525203,3.038577383,3.577257552,4.024263684,2.817372171,1.043667805,2.715148619,2.042214234,1.148231814
Ceiba,13,52,poisson,12/2/2017,2.400691548,0.706524956,0.632949066,1.505949392,2.916319025,1.497491675,3.356415487,3.561349041,4.265371609,2.109875246,1.086080423,3.067568272,1.765895127,0.84050189
Ceiba,13,52,poisson,12/9/2017,2.391230218,0.664727194,0.878760083,2.007819589,2.828849241,1.794379081,3.316065536,3.590732462,4.21109824,1.416264357,1.663552859,2.987454692,1.511467254,0.510421233
Ceiba,13,52,poisson,12/16/2017,2.385370329,0.678969509,0.905159303,2.319463885,2.590380699,2.476200916,3.369158124,3.799314361,3.75727463,0.937685984,2.500536138,2.264375495,1.35514698,0.684936235
Ceiba,13,52,poisson,12/23/2017,2.34693904,0.815895483,1.112081888,2.765260822,2.077845744,2.975062207,3.501975105,3.938267775,2.734141955,1.115082203,2.62684285,1.94694717,1.068032618,0.750837209
Ceiba,13,52,poisson,12/30/2017,2.340051628,0.657536747,1.598060761,2.996927314,1.502981859,3.248125878,3.439316621,4.124230723,2.000976518,1.163512968,2.914524435,1.614723144,0.742767158,0.748067434
Ceiba,13,52,poisson,1/6/2018,2.332369781,0.93672493,2.093468067,2.907200483,1.727737743,3.202908466,3.463590337,4.067804218,1.340909645,1.656725139,2.833430366,1.360469007,0.427115581,0.784767389
Ceiba,13,52,poisson,1/13/2018,2.333500362,0.980452225,2.390372196,2.646661608,2.404990492,3.275069201,3.69289823,3.643478487,0.980281505,2.425322612,2.13900729,1.238288238,0.718761438,0.465798047
Ceiba,13,52,poisson,1/20/2018,2.38996878,1.064461062,2.718142867,2.049046525,3.03158943,3.568977166,4.014802781,2.808200311,1.051393646,2.705405744,2.031722468,1.139339561,0.71551632,1.113563752
Ceiba,13,52,poisson,1/27/2018,2.398635393,1.541230752,2.947297864,1.499080313,3.314788994,3.514426903,4.211107267,2.067602997,1.114281231,3.008691608,1.707745742,0.80156356,0.711980746,1.333634442
Ceiba,13,52,poisson,2/3/2018,2.436991823,1.985838706,2.80860581,1.81190351,3.345319472,3.623620133,4.248162897,1.437234772,1.667468004,3.027355125,1.550506694,0.535174581,0.719206782,1.582363975
Ceiba,13,52,poisson,2/10/2018,2.446315187,2.269734012,2.551020069,2.526445584,3.435276645,3.874144449,3.837340587,0.914712379,2.555573374,2.352620294,1.437475864,0.669435232,0.504065802,1.596649045
Ceiba,13,52,poisson,2/17/2018,2.520154207,2.580963849,1.96827316,3.196633194,3.764410913,4.238229603,3.025701969,0.879862911,2.937124373,2.280088165,1.35290364,0.641897939,1.224974854,1.476654823
Ceiba,13,52,poisson,2/24/2018,2.654857099,2.689840921,1.505778583,3.661112276,3.905240351,4.662904709,2.432193604,0.954905229,3.500002771,2.192607171,1.15925296,0.621935796,1.594244933,1.889517947
Ceiba,13,52,poisson,3/3/2018,2.821446426,2.449199195,2.140257161,3.865993659,4.209996555,4.908968284,1.8844524,1.872233837,3.741703454,2.245325394,1.066567747,0.678442504,1.968544918,2.137471134
Ceiba,13,52,poisson,3/10/2018,2.977344411,2.146525247,3.065687263,4.134287019,4.667206368,4.687662126,1.065573239,3.221303796,3.290206598,2.313320716,0.921820441,0.924973006,2.092822342,2.570956424
Ceiba,13,52,poisson,3/17/2018,3.277397864,1.664806761,3.994020244,4.705624584,5.317133242,4.09372347,0.81119351,4.087266687,3.488454309,2.432201391,0.996853033,1.850591296,2.121294697,3.0615718
Ceiba,13,52,poisson,3/24/2018,3.656600056,1.771727348,4.698472526,5.079960493,6.019367278,3.627525071,1.56737583,4.983815902,3.651646065,2.397133679,1.251400449,2.415707108,2.661708478,3.54186925
Ceiba,13,52,poisson,3/31/2018,4.045775941,2.989382343,5.094072601,5.59794464,6.472979475,3.193948405,2.983238355,5.443403257,3.883129552,2.46296275,1.48566491,2.900341029,3.040017154,3.863688505
Ceiba,13,52,poisson,4/7/2018,4.184797923,4.009889907,5.330934981,6.030064706,6.153262187,2.194150692,4.559462033,4.90389611,3.820157217,2.043431423,1.881894263,2.954693351,3.463831529,4.031162068
Ceiba,13,52,poisson,4/14/2018,4.278534383,4.802931241,5.657275169,6.411007778,5.191987262,1.738120073,5.279239828,4.718446372,3.549926311,1.834341734,2.548403371,2.778695803,3.766270147,4.162116377
Ceiba,13,52,poisson,4/21/2018,4.074829189,5.002297699,5.424764612,6.417239927,3.99263983,1.904508817,5.420279715,4.07969652,2.772789372,1.532223364,2.662048383,2.890599315,3.789662033,3.845991433
Ceiba,13,52,poisson,4/28/2018,3.752239431,4.756539777,5.215999521,6.042585749,2.816687754,2.627189139,4.974303431,3.433132889,2.074447422,1.210052187,2.642515378,2.79037724,3.599933333,3.438695359
Ceiba,13,52,poisson,5/5/2018,3.263225844,4.403520279,4.973390243,5.01657626,1.270761269,3.506883509,3.652687561,2.651943664,1.143633008,1.130367712,2.285788621,2.771617452,3.338635616,2.865992506
Ceiba,13,52,poisson,5/12/2018,2.822794205,4.194348828,4.730563473,3.510217329,0.646280537,3.457049049,2.830309554,1.839587758,0.677991969,1.497362142,1.770016905,2.682814098,3.134456714,2.161738978
Ceiba,13,52,poisson,5/19/2018,2.394762306,3.660220015,4.379694066,2.200431971,1.033887239,3.191740439,1.888496745,0.9269875,0.657226534,1.42958755,1.731031765,2.521839485,2.709754988,1.508725499
Ceiba,13,52,poisson,5/26/2018,1.99112103,3.156852579,3.722065216,1.204815914,1.694829723,2.463750816,0.995737124,0.371873097,0.951579187,1.282652796,1.469859666,2.175714991,2.261600692,1.279136228
Ceiba,13,52,poisson,6/2/2018,1.61676642,2.686526293,2.573418236,1.727514612,1.964445226,0.977716105,0.264236991,1.416369481,0.839045552,0.883395501,1.272949629,1.831827458,1.743163825,0.875802818
Ceiba,13,52,poisson,6/9/2018,1.45318427,2.218034458,1.24366028,2.788402797,1.200816978,0.511802672,1.020990245,2.044182731,0.954978977,0.402180551,1.041003854,1.585571208,1.124423857,0.591882801
Ceiba,13,52,poisson,6/16/2018,1.534765271,1.789806739,1.481646532,3.238561205,0.704594993,1.020330244,1.896070214,2.385087483,0.768786782,0.58734157,0.931511636,1.271924065,0.56591858,0.414210186
